Спеціальність,Ч,Ж,score_m,score_f
"011 Освітні, педагогічні науки",16,6,143.03,138.07
012 Дошкільна освіта,240,3264,65.53,119.28
013 Початкова освіта,957,4384,78.2,136.89
014 Середня освіта,5130,5668,142.05,151.34
015 Професійна освіта,2497,520,105.25,142.37
016 Спеціальна освіта,63,1159,140.34,148.65
017 Фізична культура і спорт,3429,1435,152.68,156.19
021 Аудіовізуальне мистецтво та виробництво,403,662,168.75,168.6
022 Дизайн,1249,5848,140.89,159.42
"023 Образотворче мистецтво, декоративне мистецтво, реставрація",414,1579,161.93,167.42
024 Хореографія,169,1115,170.62,172.24
025 Музичне мистецтво,1114,2043,177.47,178.66
026 Сценічне мистецтво,267,986,170.06,172.16
"027 Музеєзнавство, пам’яткознавство",25,23,150.03,150.88
028 Менеджмент соціокультурної діяльності,349,564,73.66,145.25
"029 Інформаційна, бібліотечна та архівна справа",1079,959,51.66,126.23
031 Релігієзнавство,7,4,157.88,152.43
032 Історія та археологія,392,416,157.26,156.35
033 Філософія,116,133,156.34,157.1
034 Культурологія,69,268,151.74,158.95
035 Філологія,1168,7853,152.94,154.47
041 Богослов’я,332,32,149.16,158.3
051 Економіка,3865,3164,96.73,140.56
052 Політологія,403,394,146.74,149.09
053 Психологія,2183,10554,140.23,140.1
054 Соціологія,126,334,153.31,158.5
061 Журналістика,773,2487,81.73,145.42
071 Облік і оподаткування,5950,4393,57.07,127.57
"072 Фінанси, банківська справа, страхування та фондовий ринок",7603,5552,65.41,126.36
073 Менеджмент,7716,8700,110.23,134.26
075 Маркетинг,3042,5838,110.67,132.28
076 Підприємництво та торгівля,7403,4455,77.15,116.91
081 Право,8782,9537,75.66,86.63
091 Біологія та біохімія,162,408,150.87,154.35
101 Екологія,1434,681,96.25,141.67
102 Хімія,116,172,156.9,154.51
103 Науки про Землю,508,153,101.59,143.83
104 Фізика та астрономія,150,73,159.53,161.67
105 Прикладна фізика та наноматеріали,189,60,152.7,154.83
106 Географія,128,72,150.79,154.03
111 Математика,112,137,163.1,159.57
112 Статистика,36,54,159.48,161.25
113 Прикладна математика,495,300,141.91,167.4
121 Інженерія програмного забезпечення,8112,1848,121.13,143.42
122 Комп'ютерні науки,7049,2256,132.95,151.28
123 Комп’ютерна інженерія,6445,784,112.68,139.69
124 Системний аналіз,293,266,165.36,169.75
125 Кібербезпека та захист інформації,2882,773,147.57,154.86
126 Інформаційні системи та технології,1308,407,134.0,146.95
131 Прикладна механіка,2806,121,122.11,147.77
132 Матеріалознавство,334,55,142.79,146.96
133 Галузеве машинобудування,7856,243,89.19,143.73
134 Авіаційна та ракетно-космічна техніка,475,94,140.01,152.26
135 Суднобудування,145,6,121.63,154.15
136 Металургія,1188,103,103.24,129.59
"141 Електроенергетика, електротехніка та електромеханіка",10394,455,107.96,138.04
142 Енергетичне машинобудування,896,31,103.5,130.43
143 Атомна енергетика,117,29,144.84,166.96
144 Теплоенергетика,736,92,111.63,145.22
145 Відновлювані джерела енергії та гідроенергетика,76,6,142.65,149.52
161 Хімічні технології та інженерія,883,244,60.2,145.44
162 Біотехнології та біоінженерія,145,290,150.46,155.04
163 Біомедична інженерія,106,97,151.3,158.86
171 Електроніка,810,76,124.3,154.16
172 Електронні комунікації та радіотехніка,2880,296,112.71,145.8
173 Авіоніка,122,23,131.55,163.38
"174 Автоматизація, комп’ютерно-інтегровані технології та робототехніка",3901,306,117.87,146.93
175 Інформаційно-вимірювальні технології,478,89,115.77,136.59
176 Мікро- та наносистемна техніка,177,24,145.47,160.76
181 Харчові технології,5895,3268,74.14,122.85
182 Технології легкої промисловості,584,833,28.17,139.76
183 Технології захисту навколишнього середовища,329,105,129.53,149.22
184 Гірництво,1345,167,86.94,105.28
185 Нафтогазова інженерія та технології,1172,53,101.2,144.91
186 Видавництво та поліграфія,371,442,91.14,140.73
187 Деревообробні та меблеві технології,522,6,75.34,158.36
191 Архітектура та містобудування,603,1982,155.78,164.93
192 Будівництво та цивільна інженерія,9648,1762,102.38,141.12
193 Геодезія та землеустрій,2349,498,79.51,134.18
"194 Гідротехнічне будівництво, водна інженерія та водні технології",110,12,142.66,147.99
201 Агрономія,5747,1035,110.63,137.16
202 Захист і карантин рослин,175,56,144.24,145.23
"203 Садівництво, плодоовочівництво та виноградарство",121,40,141.09,148.65
204 Технологія виробництва і переробки продукції тваринництва,1754,431,88.28,135.67
205 Лісове господарство,3435,226,66.73,114.57
206 Садово-паркове господарство,631,492,84.62,146.04
207 Водні біоресурси та аквакультура,454,44,123.49,147.98
208 Агроінженерія,7690,111,109.26,136.69
211 Ветеринарна медицина,1338,1270,85.48,137.3
221 Стоматологія,1215,2111,158.03,161.25
222 Медицина,1024,2869,165.1,164.53
223 Медсестринство,2124,10203,117.13,115.84
224 Технології медичної діагностики та лікування,67,301,122.14,133.68
225 Медична психологія,49,356,146.46,150.75
"226 Фармація, промислова фармація",317,2857,55.25,41.42
227 Терапія та реабілітація,1475,2077,145.41,147.08
228 Педіатрія,19,113,157.41,159.81
229 Громадське здоров`я,29,45,142.03,146.26
231 Соціальна робота,1302,1519,60.1,117.82
232 Соціальне забезпечення,151,205,119.92,143.14
241 Готельно-ресторанна справа,2793,3909,58.13,101.76
242 Туризм і рекреація,1891,2077,61.43,122.2
256 Національна безпека,327,209,142.52,142.48
257 Управління інформаційною безпекою,2,0,140.64,0.0
261 Пожежна безпека,490,155,98.94,87.31
262 Правоохоронна діяльність,1732,2569,120.63,124.7
263 Цивільна безпека,335,167,134.85,145.84
271 Морський та внутрішній водний транспорт,3006,90,108.08,124.87
272 Авіаційний транспорт,382,55,113.78,153.29
273 Залізничний транспорт,1657,112,66.45,91.67
274 Автомобільний транспорт,7247,68,91.96,140.14
275 Транспортні технології,4341,1522,96.11,133.18
281 Публічне управління та адміністрування,322,350,161.58,161.86
"291 Міжнародні відносини, суспільні комунікації та регіональні студії",352,1169,166.47,165.78
292 Міжнародні економічні відносини,435,853,164.62,166.12
293 Міжнародне право,237,672,166.7,167.27
